Chicken pox,"Calamine lotion and a cool bath with added baking soda, uncooked oatmeal, or colloidal oatmeal may help relieve some of the itching.",Try to keep fingernails trimmed short ,"If you do scratch a blister by accident, wash your hands with soap and water for at least 20 seconds.","use non-aspirin medications, such as acetaminophen, to relieve fever from chickenpox",,
Typhoid,Consult nearest hospital,Wash your hands.,Avoid using untreated water,Avoid raw fruits and vegetables.,Choose hot foods,
Tuberculosis,Maintain airborne precautions for necessary visits by patients with suspect or infectious TB until infectiousness is ruled out or resolves.,Reduce exposure by eliminating or delaying nonurgent appointments for patients with suspect or infectious TB until infectiousness is ruled out or resolves,Establish cough etiquette practices among staff and clients.,Do not perform aerosol-inducing procedures or sputum collections if negative pressure room or or local exhaust ventilation enclosure (sputum collection booth) is not available.,,
Common cold,"Avoid close contact with others, such as hugging, kissing, or shaking hands.",Move away from people before coughing or sneezing,"Cough and sneeze into a tissue then throw it away, or cough and sneeze into your upper shirt sleeve, completely covering your mouth and nose.","Wash your hands after coughing, sneezing, or blowing your nose.",,
Pneumonia,Getting Pneumococcus vaccines,Eating healthy,Exercise,Good hygiene (washing your hands often),,
Arthritis,Stay at a healthy weight.,Control your blood sugar,Exercise.,Get routine proper care,,
Cholera,Good hygiene,Get oral cholera vaccines,Wash your hands.,Consult nearest hospital,,
Bronchial Asthma,Know your triggers and avoid them,Avoid smoke of any type,Take your prescribed medications,Keep yourself warm during winters,,
Gastroenteritis,Let your stomach settle,Try sucking on ice chips or taking small sips of water often,Ease back into eating,Avoid certain foods and substances until you feel better.,Get plenty of rest.,"Try anti-diarrhea medications such as loperamide (Imodium A-D) or bismuth subsalicylate (Pepto-Bismol, others)"
Migraine,Find a calm environment,Sleep well,Eat wisely,Exercise regularly,Manage stress,
Acne Vulgaris,Keep your skin clean,Choose the right skin care.,Shampoo regularly.,Stick to your treatment.,Keep your hands off.,Stay out of the sun and tanning beds
Alcoholic Hepatitis,Quitting drinking,Medications such as Corticosteroids or Pentoxifylline,Counseling,Consult nearest hospital,,
Gastritis,"Avoiding fatty, fried, spicy or acidic foods.",Cutting back on caffeine.,Eating smaller meals throughout the day.,Managing stress,Reducing alcohol consumption,
Diabetes Mellitus,Make a commitment to managing your diabetes,Don't smoke,Keep your blood pressure and cholesterol under control,Schedule regular physicals and eye exams,Take care of your teeth,
Diabetes Insipidus,Make a commitment to managing your diabetes,Don't smoke,Keep your blood pressure and cholesterol under control,Schedule regular physicals and eye exams,Take care of your teeth,
